# name                   	type      	redshift  	max_date  	discovery_date
#<U25                    	<U10      	<10       	<10       	<10       
DES14X3taz               SLSN-I    0.608     2015-03-02          2015-01-09          
2019otl                  SLSN-I    0.55      2019-08-20          2019-05-26          
2020xgd                  SLSN-I    0.455     2020-10-23          2020-09-08          
2010md                   SLSN-I    0.0982    2010-06-15          2010-05-01          
PTF10aagc                SLSN-I    0.2067    2010-10-04          2010-10-26          
2025afad                 SLSN-I    0.307     unknown             2025-11-26          
2023wml                  SLSN-I    0.15      unknown             2023-11-01          
iPTF16eh                 SLSN-I    0.427     2016-02-17          2015-12-13          
PS1-11bdn                SLSN-I    0.738     2012-01-03          2011-11-29          
LSQ15abl                 SLSNII    0.087     2015-04-22          2015-03-19          
2024ahr                  SLSN-I    0.1       unknown             2024-01-16          
DES15E2mlf               SLSN-I    1.861     2015-12-29          2015-11-07          
PS1-11tt                 SLSN-I    1.283     2011-04-24          2011-01-12          
2016ezh                  SLSNII    0.08      2016-09-22          2016-08-12          
2023uta                  SLSN-I    0.036812  unknown             unknown             
2024agir                 SLSN-I    0.3878    unknown             2024-12-23          
2013dg                   SLSN-I    0.26      2013-06-04          2013-05-01          
2021gch                  SLSN-I    0.508     unknown             unknown             
2025aaeo                 SLSN-I    0.137     unknown             2025-10-12          
SCP-06F6                 SLSN-I    1.189     2006-04-26          2006-01-24          
2022gyv                  SLSN-I    0.39      2022-04-20          2022-01-28          
2021ynn                  SLSN-I    0.22      2021-09-30          2021-08-29          
2024agkj                 SLSN-I    0.1934    unknown             2024-12-30          
PTF10bfz                 SLSN-I    0.1699    2010-02-04          2010-01-11          
2022ljr                  SLSN-I    0.2       2022-06-17          2022-05-20          
2024xny                  SLSN-I    0.1       unknown             2024-10-07          
2020vpg                  SLSN-I    0.257     2020-11-04          2020-09-09          
2016aj                   SLSN-I    0.485     2016-01-25          2016-01-11          
2026duw                  SLSN-I    0.265     unknown             2026-02-20          
2025fmt                  SLSN-I    0.021     unknown             2025-03-19          
2020adkm                 SLSN-I    0.226     2021-01-31          2020-11-01          
PS1-12bqf                SLSN-I    0.522     2012-11-11          2012-09-12          
iPTF13cjq                SLSN-I    0.396     2013-08-07          2013-07-15          
2023aase                 SLSN-I    0.2       unknown             2023-12-18          
PS1-10awh                SLSN-I    0.91      2010-11-13          2010-09-19          
2025ahki                 SLSN-I    0.17      unknown             2025-12-18          
2020exj                  SLSN-I    0.133     2020-04-09          2020-03-17          
PS1-10bzj                SLSN-I    0.65      2010-12-29          2010-11-29          
2018bgv                  SLSN-I    0.08      2018-05-19          2018-05-03          
2025idz                  SLSN-I    0.145     unknown             2025-04-21          
2019enz                  SLSN-I    0.22      2019-05-25          2019-04-22          
PTF12dam                 SLSN-I    0.1075    2012-06-25          2012-04-03          
2017faf                  SLSNI     0.029     2017-07-06          2017-06-28          
2002gh                   SLSN-I    0.365     2002-10-15          2002-07-17          
PS1-14bj                 SLSN-I    0.5215    2014-05-04          2013-10-29          
2021ahpl                 SLSN-I    0.051     unknown             2021-04-09          
2025ahjh                 SLSN-I    0.284     unknown             2025-11-24          
2020xga                  SLSN-I    0.44      2020-11-12          2020-09-19          
OGLE15qz                 SLSN-I    0.68      2015-12-24          2015-11-13          
2015bn                   SLSN-I    0.1136    2015-03-21          2014-12-23          
2021zcl                  SLSN-I    0.117     2021-10-26          2021-09-02          
2021een                  SLSN-I    0.16      2021-03-09          2021-02-04          
2026qr                   SLSN-I    0.235     unknown             2026-01-10          
2021hpx                  SLSN-I    0.213     2021-04-27          2021-02-28          
LSQ14bdq                 SLSN-I    0.35      2014-06-29          2014-03-16          
2025abvv                 SLSN-I    0.19      unknown             2025-10-24          
2019zbv                  SLSN-I    0.3785    2020-01-24          2019-11-26          
2009cb                   SLSN-I    0.1864    2009-03-12          2009-02-19          
2023hoz                  SLSN-I    0.419     unknown             2023-04-29          
2021fpl                  SLSN-I    0.115     2021-05-02          2021-02-19          
LSQ14mo                  SLSN-I    0.253     2014-02-06          2014-01-06          
2021mkr                  SLSN-I    0.28      2021-07-07          2021-04-28          
2019eot                  SLSN-I    0.3057    2019-06-08          2019-04-01          
2011kg                   SLSN-I    0.193     2012-01-09          2011-12-04          
2019nhs                  SLSN-I    0.19      2019-09-06          2019-07-28          
2019sgh                  SLSN-I    0.3436    2019-10-06          2019-09-08          
2023acco                 SLSN-I    0.0888    unknown             2023-12-28          
2021rwz                  SLSN-I    0.19      2021-07-05          2021-05-26          
iPTF13bdl                SLSN-I    0.402     2013-07-19          2012-12-27          
2024dbb                  SLSN-I    0.079     unknown             2024-02-18          
2024ezq                  SLSN-I    0.19      unknown             2024-03-20          
2018don                  SLSN-I    0.0735    2018-06-08          2018-03-22          
2019neq                  SLSN-I    0.1075    2019-09-08          2019-08-06          
